﻿Stock Level Summary Report
Merchant ID,B0961005
Merchant Name,Hong Kong online Community pharmacy superstore
Date,2026/06/19
,,,,,,,,,,,,,,,Packing Dimension
Merchant ID,Merchant Product ID,Primary SKU,Merchant SKU ID,SKU Name,SKU Name (Chi),Warehouse ID,StockLevel,Online Status,Invisible,Force Out Of Stock,Create Date,Offline Date,Brand Name (EN),Brand Name (CHI),Height,Width,Depth,Packing Spec(EN),Packing Spec(CHI),Primary Category Code,Primary Category Name (CHI),Currency,Original Price,Discount Price,Discount Rate(%),VIP Discount Price,VIP Discount Rate(%),GOLD VIP Discount Price,GOLD VIP Discount Rate(%),DIAMOND VIP Discount Price,DIAMOND VIP Discount Rate(%),
B0961005,4890008001637_24,Y,B0961005_S_4890008001637_24,(Full Case) Cold Brew Honey Black Tea Beverage(No Sugar) 500ml x 24【BB:11/2026】,(原箱) 冷萃台灣蜜香紅茶(無糖) 500ml x 24支【最佳使用日期:11/2026】,B096100591,14,online,N,N,18-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,300,350,300,500ml x 24,500毫升 x 24,AA11224510001,樽裝茶,HKD,300.0,127.0,57.66667, , , , , , ,
B0961005,4890008003167_24,Y,B0961005_S_4890008003167_24,(Full Case) Oolong Tea (No Sugar) 500ml x 24【Best Before:03/2027】,(原箱) 烏龍茶飲料 (無糖) 500ml x 24支【最佳使用日期:03/2027】,B096100591,74,online,N,N,15-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,400,270,200,500ml x 24,500毫升 x 24,AA11224510001,樽裝茶,HKD,237.6,118.0,50.3367, , , , , , ,
B0961005,4890008100309_24,Y,B0961005_S_4890008100309_24,(Full Case) Classic (Canned) 330ml x 24 cans【Best Before:04/2027】,(原箱) 罐裝 330ml x 24罐【最佳使用日期:04/2027】,B096100591,261,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,164.4,77.0,53.16302, , , , , , ,
B0961005,4890008100361_24,Y,B0961005_S_4890008100361_24,(Full Case) Classic (Mini Can) 200ml x 24 cans【Best Before:03/2027】,(原箱) 迷你罐裝可樂 200ml x 24罐【最佳使用日期:03/2027】,B096100591,19,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,320,220,100,200ml x 24,200毫升 x 24,AA11221500001,汽水,HKD,106.0,82.0,22.64151, , , , , , ,
B0961005,4890008101306_24,Y,B0961005_S_4890008101306_24,(Full Case) Plus Dietary Fiber Zero Sugar Cola 330ml x 24 cans【Best Before:12/2026】,(原箱) Plus-膳食纖維無糖可樂330ml x 24罐【最佳使用日期:12/2026】,B096100591,122,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,164.4,79.0,51.94647, , , , , , ,
B0961005,4890008108305_24,Y,B0961005_S_4890008108305_24,(Full Case) Lemon Flavored Cola (Canned) 330ml x 24 cans【Best Before:04/2027】Old and new packages wi,(原箱) 罐裝檸檬味可口可樂汽水 330ml x 24罐【最佳使用日期:04/2027】新舊包裝隨機出貨,B096100591,17,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,164.4,77.0,53.16302, , , , , , ,
B0961005,4890008109302_24,Y,B0961005_S_4890008109302_24,(Full Case) Zero Sugar (Canned) 330ml x 24 cans【Best Before:01/2027】,(原箱) (零系) 罐裝330ml x 24罐【最佳使用日期:01/2027】,B096100591,200,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,164.4,78.0,52.55474, , , , , , ,
B0961005,4890008109364_24,Y,B0961005_S_4890008109364_24,(Full Case) Zero Sugar (Mini Can) 200ml x 24 cans【Best Before:12/2026】,(原箱) 可樂零系無糖 (迷你罐裝) 200ml x 24罐【最佳使用日期:12/2026】,B096100591,65,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,320,220,100,200ml x 24,200毫升 x 24,AA11221500001,汽水,HKD,106.0,82.0,22.64151, , , , , , ,
B0961005,4890008110308_24,Y,B0961005_S_4890008110308_24,(Full Case) Lemon Lime Soda 330ml x 24 cans【Best Before:04/2027】,(原箱) (檸檬青檸味汽水) 330ml x 24罐【最佳使用日期:04/2027】,B096100591,3,online,N,N,15-May-2026,01-Jan-2099,Sprite,雪碧,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,164.4,77.0,53.16302, , , , , , ,
B0961005,4890008110360_24,Y,B0961005_S_4890008110360_24,(Full Case) Lemon Lime Soda (Mini Can) 200ml x 24 cans【Best Before:04/2027】,(原箱) 迷你罐裝檸檬青檸味汽水 200ml x 24罐【最佳使用日期:04/2027】,B096100591,16,online,N,N,15-May-2026,01-Jan-2099,Sprite,雪碧,320,220,100,200ml x 24,200毫升 x 24,AA11221500001,汽水,HKD,106.0,82.0,22.64151, , , , , , ,
