Stock Level Summary Report
Merchant ID,B0961005
Merchant Name,Hong Kong online Community pharmacy superstore
Date,2026/07/29
,,,,,,,,,,,,,,,Packing Dimension
Merchant ID,Merchant Product ID,Primary SKU,Merchant SKU ID,SKU Name,SKU Name (Chi),Warehouse ID,StockLevel,Online Status,Invisible,Force Out Of Stock,Create Date,Offline Date,Brand Name (EN),Brand Name (CHI),Height,Width,Depth,Packing Spec(EN),Packing Spec(CHI),Primary Category Code,Primary Category Name (CHI),Currency,Original Price,Discount Price,Discount Rate(%),VIP Discount Price,VIP Discount Rate(%),GOLD VIP Discount Price,GOLD VIP Discount Rate(%),DIAMOND VIP Discount Price,DIAMOND VIP Discount Rate(%),
B0961005,00003321_16,Y,B0961005_S_00003321_16,(Original Carton) VIRJOY Professional Unprinted C-Fold Paper Towels (Hygiene Solution); 250 Sheets × ,(原箱)唯潔雅 無印刷三摺式抹手紙 (Hygiene Solution) 250張X16包,B096100591,5,online,N,N,14-Jul-2026,01-Jan-2099,VIRJOY,唯潔雅,340,480,420,,,AA11801500001,萬用廚房紙,HKD,188.0,149.0,20.74468, , , , , , ,
B0961005,00003876_16,Y,B0961005_S_00003876_16,(Original Carton) Vinda Professional Silver Paper Towels (36gsm; 250 Sheets × 16 Packs),(原箱)唯潔雅 銀色抹手紙 (36gsm; 250張X16包),B096100591,0,online,Y,N,14-Jul-2026,01-Jan-2099,VIRJOY,唯潔雅,340,460,420,,,AA11801500001,萬用廚房紙,HKD,189.0,159.0,15.87302, , , , , , ,
